ItemName_PTBR = {
	ItemName_TAD.OpenKosmotsars                                = "Cereal Kosmotsars (Aberto)",
	ItemName_TAD.CloseKosmotsars                               = "Cereal Kosmotsars (Fechado)",
													           
	ItemName_TAD.BobTA_African_Noodle_Mag                      = "Revista de Dança (n.01) 'African Noodle'",
	ItemName_TAD.BobTA_African_Rainbow_Mag                     = "Revista de Dança (n.02) 'African Rainbow'",
	ItemName_TAD.BobTA_Arms_Hip_Hop_Mag                        = "Revista de Dança (n.03) 'Arms'",
	ItemName_TAD.BobTA_Arm_Push_Mag                            = "Revista de Dança (n.04) 'Arm Push'",
	ItemName_TAD.BobTA_Arm_Wave_One_Mag                        = "Revista de Dança (n.05) 'Onda de Braço #1'",
	ItemName_TAD.BobTA_Arm_Wave_Two_Mag                        = "Revista de Dança (n.06) 'Onda de Braço #2'",
	ItemName_TAD.BobTA_Around_The_World_Mag                    = "Revista de Dança (n.07) 'Around The World'",
	ItemName_TAD.BobTA_Bboy_Hip_Hop_One_Mag                    = "Revista de Dança (n.08) 'Hip Hop #1'",
	ItemName_TAD.BobTA_Bboy_Hip_Hop_Two_Mag                    = "Revista de Dança (n.09) 'Hip Hop #2'",
	ItemName_TAD.BobTA_Bboy_Hip_Hop_Three_Mag                  = "Revista de Dança (n.10) 'Hip Hop #3'",
	ItemName_TAD.BobTA_Body_Wave_Mag                           = "Revista de Dança (n.11) 'Body Wave'",
	ItemName_TAD.BobTA_Booty_Step_Mag                          = "Revista de Dança (n.12) 'Booty Step'",
	ItemName_TAD.BobTA_Breakdance_Brooklyn_Uprock_Mag          = "Revista de Dança (n.13) 'Breakdance - Brooklyn Uprock'",
	ItemName_TAD.BobTA_Cabbage_Patch_Mag                       = "Revista de Dança (n.14) 'Cabbage Patch'",
	ItemName_TAD.BobTA_Can_Can_Mag                             = "Revista de Dança (n.15) 'Cancã'",
	ItemName_TAD.BobTA_Chicken_Mag                             = "Revista de Dança (n.16) 'Galinha'",
	ItemName_TAD.BobTA_Crazy_Legs_Mag                          = "Revista de Dança (n.17) 'Crazy Legs'",
	ItemName_TAD.BobTA_Defile_De_Samba_Parade_Mag              = "Revista de Dança (n.18) 'Desfile De Samba'",
	ItemName_TAD.BobTA_Hokey_Pokey_Mag                         = "Revista de Dança (n.19) 'Hokey Pokey'",
	ItemName_TAD.BobTA_Kick_Step_Mag                           = "Revista de Dança (n.20) 'Kick Step'",
	ItemName_TAD.BobTA_Macarena_Mag                            = "Revista de Dança (n.21) 'Macarena'",
	ItemName_TAD.BobTA_Maraschino_Mag                          = "Revista de Dança (n.22) 'Maraschino'",
	ItemName_TAD.BobTA_MoonWalk_One_Mag                        = "Revista de Dança (n.23) 'MoonWalk'",
	ItemName_TAD.BobTA_Northern_Soul_Spin_Mag                  = "Revista de Dança (n.24) 'Northern Soul - Girar'",
	ItemName_TAD.BobTA_Northern_Soul_Spin_On_Floor_Mag         = "Revista de Dança (n.25) 'Northern Soul - Girar no Chão'",
	ItemName_TAD.BobTA_Raise_The_Roof_Mag                      = "Revista de Dança (n.26) 'Raise The Roof')",
	ItemName_TAD.BobTA_Really_Twirl_Mag                        = "Revista de Dança (n.27) 'Really Twirl'",
	ItemName_TAD.BobTA_Rib_Pops_Mag                            = "Revista de Dança (n.28) 'Rib Pops'",
	ItemName_TAD.BobTA_Rockette_Kick_Mag                       = "Revista de Dança (n.29) 'Rockette Kick'",
	ItemName_TAD.BobTA_Rumba_Dancing_Mag                       = "Revista de Dança (n.30) 'Dança Rumba')",
	ItemName_TAD.BobTA_Running_Man_One_Mag                     = "Revista de Dança (n.31) 'Running Man #1'",
	ItemName_TAD.BobTA_Running_Man_Two_Mag                     = "Revista de Dança (n.32) 'Running Man #2'",
	ItemName_TAD.BobTA_Running_Man_Three_Mag                   = "Revista de Dança (n.33) 'Running Man #3'",
	ItemName_TAD.BobTA_Salsa_Mag                               = "Revista de Dança (n.34) 'Salsa'",
	ItemName_TAD.BobTA_Salsa_Double_Twirl_Mag                  = "Revista de Dança (n.35) 'Salsa - Giro Duplo'",
	ItemName_TAD.BobTA_Salsa_Double_Twirl_and_Clap_Mag         = "Revista de Dança (n.36) 'Salsa - Giro Duplo e Aplaudir'",
	ItemName_TAD.BobTA_Salsa_Side_to_Side_Mag                  = "Revista de Dança (n.37) 'Salsa - Lado a lado'",
	ItemName_TAD.BobTA_Shimmy_Mag                              = "Revista de Dança (n.38) 'Shimmy'",
	ItemName_TAD.BobTA_Shim_Sham_Mag                           = "Revista de Dança (n.39) 'Shim Sham'",
	ItemName_TAD.BobTA_Shuffling_Mag                           = "Revista de Dança (n.40) 'Shuffling'",
	ItemName_TAD.BobTA_Side_to_Side_Mag                        = "Revista de Dança (n.41) 'Side to Side'",
	ItemName_TAD.BobTA_Twist_One_Mag                           = "Revista de Dança (n.42) 'Twist #1'",
	ItemName_TAD.BobTA_Twist_Two_Mag                           = "Revista de Dança (n.43) 'Twist #2'",
	ItemName_TAD.BobTA_Uprock_Indian_Step_Mag                  = "Revista de Dança (n.44) 'Uprock Indian Step'",
	ItemName_TAD.BobTA_YMCA_Mag                                = "Revista de Dança (n.45) 'YMCA'",
															   
	ItemName_TAD.BobTA_Afoxe_Samba_Raggae_card                 = "Carta de Dança (01 de 30) 'Samba - Reggae'",
	ItemName_TAD.BobTA_Belly_Dancing_One_card                  = "Carta de Dança (02 de 30) 'Dança do Ventre #1'",
	ItemName_TAD.BobTA_Belly_Dancing_Three_card                = "Carta de Dança (03 de 30) 'Dança do Ventre #3'",
	ItemName_TAD.BobTA_Belly_Dancing_Two_card                  = "Carta de Dança (04 de 30) 'Dança do Ventre #2'",
	ItemName_TAD.BobTA_Boogaloo_card                           = "Carta de Dança (05 de 30) 'Boogaloo'",
	ItemName_TAD.BobTA_Breakdance_1990_card                    = "Carta de Dança (06 de 30) 'Breakdance - 1990'",
	ItemName_TAD.BobTA_Breakdance_Freezes_Combo_card           = "Carta de Dança (07 de 30) 'Breakdance - Freezes n Backflip'",
	ItemName_TAD.BobTA_Charleston_card                         = "Carta de Dança (08 de 30) 'Charleston'",
	ItemName_TAD.BobTA_Gandy_card                              = "Carta de Dança (09 de 30) 'Samba - Candy'",
	ItemName_TAD.BobTA_House_Dancing_card                      = "Carta de Dança (10 de 30) 'Dança House'",
	ItemName_TAD.BobTA_Locking_card                            = "Carta de Dança (11 de 30) 'Locking'",
	ItemName_TAD.BobTA_Moonwalk_Two_card                       = "Carta de Dança (12 de 30) 'Hip Hop - Moonwalk'",
	ItemName_TAD.BobTA_Northern_Soul_Spin_and_Floor_Work_card  = "Carta de Dança (13 de 30) 'Northern Soul - Girar e Floorwork'",
	ItemName_TAD.BobTA_Northern_Soul_Spin_Dip_and_Splits_card  = "Carta de Dança (14 de 30) 'Northern Soul - Girar Mergulhar e Dividir'",
	ItemName_TAD.BobTA_Rick_Dancing_card                       = "Carta de Dança (15 de 30) 'Rick Dancing'",
	ItemName_TAD.BobTA_Robot_One_card                          = "Carta de Dança (16 de 30) 'Robot #1'",
	ItemName_TAD.BobTA_Robot_Two_card                          = "Carta de Dança (17 de 30) 'Robot #2'",
	ItemName_TAD.BobTA_Salsa_Two_card                          = "Carta de Dança (18 de 30) 'Salsa'",
	ItemName_TAD.BobTA_Samba_Olodum_card                       = "Carta de Dança (19 de 30) 'Samba - Olodum'",
	ItemName_TAD.BobTA_Samba_Pagode_card                       = "Carta de Dança (20 de 30) 'Samba - Pagode'",
	ItemName_TAD.BobTA_Slide_Step_card                         = "Carta de Dança (21 de 30) 'Hip Hop - Slide Step'",
	ItemName_TAD.BobTA_Snake_card                              = "Carta de Dança (22 de 30) 'Hip Hop - Snake'",
	ItemName_TAD.BobTA_Tut_One_card                            = "Carta de Dança (23 de 30) 'Hip Hop - Tut #1'",
	ItemName_TAD.BobTA_Tut_Two_card                            = "Carta de Dança (24 de 30) 'Hip Hop - Tut #2'",
	ItemName_TAD.BobTA_Wave_One_card                           = "Carta de Dança (25 de 30) 'Hip Hop - Wave #1'",
	ItemName_TAD.BobTA_Wave_Two_card                           = "Carta de Dança (26 de 30) 'Hip Hop - Wave #2'",
															   
	ItemName_TAD.BobTA_Thriller_One_card                       = "Carta de Dança (27 de 30) 'Thriller #1'",
	ItemName_TAD.BobTA_Thriller_Two_card                       = "Carta de Dança (28 de 30) 'Thriller #2'",
	ItemName_TAD.BobTA_Thriller_Three_card                     = "Carta de Dança (29 de 30) 'Thriller #3'",
	ItemName_TAD.BobTA_Thriller_Four_card                      = "Carta de Dança (30 de 30) 'Thriller #4'",
}
